Date,Keyword,Category,Department,Count
2025-06,STO 시장,경제/금융,경영학과,5
2025-06,XR 기기,IT/과학,컴퓨터공학과,1
2025-06,뉴스페이스,과학/우주,항공우주공학과,24
2025-06,디지털 트윈,IT/산업,산업공학과,51
2025-06,방산,국제/안보,국가안보학과,456
2025-06,블록체인,IT/과학,컴퓨터공학과,386
2025-06,생분해 소재,환경/에너지,화공신소재학과,2
2025-06,생성형 AI,IT/AI,컴퓨터공학과,151
2025-06,순환경제,환경/에너지,화공신소재학과,308
2025-06,스마트 팩토리,IT/산업,산업공학과,4
2025-06,스페이스X,과학/우주,항공우주공학과,412
2025-06,신냉전,국제/문화,국제통상학과,9
2025-06,아르테미스,과학/우주,항공우주공학과,29
2025-06,엔비디아,IT/반도체,전자공학과,700
2025-06,우주항공청,과학/우주,항공우주공학과,90
2025-06,탈플라스틱,환경/에너지,화공신소재학과,16
2025-06,플라스틱 협약,환경/에너지,화공신소재학과,2
2025-07,AI 반도체,IT/반도체,전자공학과,29
2025-07,AI 일자리,경제/사회,사회복지학과,1
2025-07,HBM 시장,IT/반도체,전자공학과,3
2025-07,RWA,경제/금융,경영학과,325
2025-07,뉴스페이스,과학/우주,항공우주공학과,45
2025-07,디지털 트윈,IT/산업,산업공학과,34
2025-07,방산,국제/안보,국가안보학과,602
2025-07,블록체인,IT/과학,컴퓨터공학과,456
2025-07,생성형 AI,IT/AI,컴퓨터공학과,256
2025-07,순환경제,환경/에너지,화공신소재학과,224
2025-07,스마트 팩토리,IT/산업,산업공학과,4
2025-07,스페이스X,과학/우주,항공우주공학과,285
2025-07,신냉전,국제/문화,국제통상학과,12
2025-07,아르테미스,과학/우주,항공우주공학과,21
2025-07,엔비디아,IT/반도체,전자공학과,1063
2025-07,우주항공청,과학/우주,항공우주공학과,91
2025-07,탈플라스틱,환경/에너지,화공신소재학과,41
2025-07,플라스틱 협약,환경/에너지,화공신소재학과,2
2025-08,AI 반도체,IT/반도체,전자공학과,24
2025-08,HBM 시장,IT/반도체,전자공학과,9
2025-08,RWA,경제/금융,경영학과,246
2025-08,STO 시장,경제/금융,경영학과,1
2025-08,공간 컴퓨팅,IT/과학,컴퓨터공학과,1
2025-08,뉴스페이스,과학/우주,항공우주공학과,31
2025-08,디지털 트윈,IT/산업,산업공학과,39
2025-08,방산,국제/안보,국가안보학과,483
2025-08,블록체인,IT/과학,컴퓨터공학과,458
2025-08,생분해 소재,환경/에너지,화공신소재학과,2
2025-08,생성형 AI,IT/AI,컴퓨터공학과,206
2025-08,순환경제,환경/에너지,화공신소재학과,165
2025-08,스마트 팩토리,IT/산업,산업공학과,9
2025-08,스페이스X,과학/우주,항공우주공학과,238
2025-08,신냉전,국제/문화,국제통상학과,32
2025-08,아르테미스,과학/우주,항공우주공학과,45
2025-08,안보 위기,국제/안보,국가안보학과,3
2025-08,엔비디아,IT/반도체,전자공학과,924
2025-08,우주항공청,과학/우주,항공우주공학과,33
2025-08,탈플라스틱,환경/에너지,화공신소재학과,42
2025-08,토큰 증권,경제/금융,경영학과,1
2025-08,플라스틱 협약,환경/에너지,화공신소재학과,18
2025-09,AI 반도체,IT/반도체,전자공학과,59
2025-09,HBM 시장,IT/반도체,전자공학과,10
2025-09,RWA,경제/금융,경영학과,383
2025-09,STO 시장,경제/금융,경영학과,1
2025-09,XR 기기,IT/과학,컴퓨터공학과,1
2025-09,뉴스페이스,과학/우주,항공우주공학과,68
2025-09,디지털 트윈,IT/산업,산업공학과,30
2025-09,방산,국제/안보,국가안보학과,597
2025-09,블록체인,IT/과학,컴퓨터공학과,831
2025-09,생분해 소재,환경/에너지,화공신소재학과,1
2025-09,생성형 AI,IT/AI,컴퓨터공학과,227
2025-09,순환경제,환경/에너지,화공신소재학과,281
2025-09,스마트 팩토리,IT/산업,산업공학과,5
2025-09,스페이스X,과학/우주,항공우주공학과,174
2025-09,신냉전,국제/문화,국제통상학과,73
2025-09,아르테미스,과학/우주,항공우주공학과,35
2025-09,안보 위기,국제/안보,국가안보학과,3
2025-09,엔비디아,IT/반도체,전자공학과,1276
2025-09,우주항공청,과학/우주,항공우주공학과,136
2025-09,탈플라스틱,환경/에너지,화공신소재학과,36
2025-10,AI 반도체,IT/반도체,전자공학과,48
2025-10,AI 일자리,경제/사회,사회복지학과,1
2025-10,HBM 시장,IT/반도체,전자공학과,2
2025-10,RWA,경제/금융,경영학과,195
2025-10,STO 시장,경제/금융,경영학과,2
2025-10,XR 기기,IT/과학,컴퓨터공학과,1
2025-10,뉴스페이스,과학/우주,항공우주공학과,55
2025-10,디지털 트윈,IT/산업,산업공학과,27
2025-10,방산,국제/안보,국가안보학과,771
2025-10,블록체인,IT/과학,컴퓨터공학과,482
2025-10,생성형 AI,IT/AI,컴퓨터공학과,162
2025-10,순환경제,환경/에너지,화공신소재학과,261
2025-10,스마트 팩토리,IT/산업,산업공학과,7
2025-10,스페이스X,과학/우주,항공우주공학과,197
2025-10,신냉전,국제/문화,국제통상학과,17
2025-10,아르테미스,과학/우주,항공우주공학과,78
2025-10,안보 위기,국제/안보,국가안보학과,2
2025-10,엔비디아,IT/반도체,전자공학과,1938
2025-10,우주항공청,과학/우주,항공우주공학과,66
2025-10,탈플라스틱,환경/에너지,화공신소재학과,14
2025-11,AI 반도체,IT/반도체,전자공학과,61
2025-11,AI 일자리,경제/사회,사회복지학과,2
2025-11,HBM 시장,IT/반도체,전자공학과,3
2025-11,RWA,경제/금융,경영학과,277
2025-11,STO 시장,경제/금융,경영학과,3
2025-11,XR 기기,IT/과학,컴퓨터공학과,1
2025-11,뉴스페이스,과학/우주,항공우주공학과,209
2025-11,디지털 트윈,IT/산업,산업공학과,37
2025-11,방산,국제/안보,국가안보학과,864
2025-11,블록체인,IT/과학,컴퓨터공학과,575
2025-11,생성형 AI,IT/AI,컴퓨터공학과,153
2025-11,순환경제,환경/에너지,화공신소재학과,247
2025-11,스마트 팩토리,IT/산업,산업공학과,9
2025-11,스페이스X,과학/우주,항공우주공학과,345
2025-11,신냉전,국제/문화,국제통상학과,15
2025-11,아르테미스,과학/우주,항공우주공학과,38
2025-11,엔비디아,IT/반도체,전자공학과,2431
2025-11,우주항공청,과학/우주,항공우주공학과,143
2025-11,탈플라스틱,환경/에너지,화공신소재학과,11
2025-12,AI 반도체,IT/반도체,전자공학과,38
2025-12,AI 일자리,경제/사회,사회복지학과,2
2025-12,HBM 시장,IT/반도체,전자공학과,2
2025-12,RWA,경제/금융,경영학과,241
2025-12,STO 시장,경제/금융,경영학과,2
2025-12,공간 컴퓨팅,IT/과학,컴퓨터공학과,2
2025-12,뉴스페이스,과학/우주,항공우주공학과,64
2025-12,디지털 트윈,IT/산업,산업공학과,18
2025-12,방산,국제/안보,국가안보학과,351
2025-12,블록체인,IT/과학,컴퓨터공학과,238
2025-12,생성형 AI,IT/AI,컴퓨터공학과,83
2025-12,순환경제,환경/에너지,화공신소재학과,102
2025-12,스마트 팩토리,IT/산업,산업공학과,3
2025-12,스페이스X,과학/우주,항공우주공학과,310
2025-12,신냉전,국제/문화,국제통상학과,11
2025-12,아르테미스,과학/우주,항공우주공학과,30
2025-12,엔비디아,IT/반도체,전자공학과,733
2025-12,우주항공청,과학/우주,항공우주공학과,57
2025-12,탈플라스틱,환경/에너지,화공신소재학과,11
2025-12,토큰 증권,경제/금융,경영학과,1
